storyId,sceneId,scenType,icon,characterName,leftCharacter,rightcharacter,text,background,speech_bubble,nextSceneId,IsChoice,choiceText1,choiceText2
netomo,scene1,chat,nick_icon,ニック,,,ヤッホー！もしかして昨日のライブいったー？,chat_netotama,,scene2,false ,,
netomo,scene2,chat,curl_icon,カール,,,こんにちは！行ったよ！！,chat_netotama,,scene3,false ,,
netomo,scene3,chat,nick_icon,ニック,,,だよね！ライブの写真が投稿されてるなーって思ってたんだよね,chat_netotama,,scene4,false ,,
netomo,scene4,chat,curl_icon,カール,,,ライブめちゃくちゃ良かった！,chat_netotama,,scene5,false ,,
netomo,scene5,chat,nick_icon,ニック,,,わかる〜。衣装もセトリも最高だったよね。本当に楽しかった,chat_netotama,,scene6,false ,,
netomo,scene6,chat,curl_icon,カール,,,じゃあニックも昨日のライブ行ってたの？,chat_netotama,,scene7,false ,,
netomo,scene7,chat,nick_icon,ニック,,,そうそう、行ってたんだよね,chat_netotama,,scene8,false ,,
netomo,scene8,chat,curl_icon,カール,,,そうだったんだ！もしかしたらどこかで会ってたかもね,chat_netotama,,scene9,false ,,
netomo,scene9,chat,nick_icon,ニック,,,他のネトモとは会って直接話したけど、カールとは会えなかったもんね,chat_netotama,,scene10,false ,,
netomo,scene10,chat,curl_icon,カール,,,え？ネトモに直接会ったの？,chat_netotama,,scene11,false ,わかった！〇〇だよ！,家の住所教えてもいいか親に聞いてみる！
netomo,scene11,chat,nick_icon,ニック,,,そうだよ。カールは次のライブは行くの？,chat_netotama,,scene12,false ,,
netomo,scene12,chat,curl_icon,カール,,,それが金欠だから行けないんだよね,chat_netotama,,scene13,false ,,
netomo,scene13,chat,nick_icon,ニック,,,そうだったんだ。次のライブではカールと会いたいなって思ってたから残念だな,chat_netotama,,scene14,false ,,
netomo,scene14,chat,curl_icon,カール,,,ネトモに会ったことないから会ってみたいなって思ってたんだよね,chat_netotama,,scene15,false ,ニックに会うの初めてで不安だからお母さんも一緒に行っていいかな？,会いたい！楽しみだな！
netomo,scene15,chat,nick_icon,ニック,,,でも来れないならしょうがないか,chat_netotama,,scene16,false ,,
netomo,scene16,chat,nick_icon,ニック,,,じゃあグッズだけでも買うの？,chat_netotama,,scene17,false ,,
netomo,scene17,chat,curl_icon,カール,,,それがグッズも買えなさそうでまじやばい,chat_netotama,,scene18,false ,,
netomo,scene18,chat,nick_icon,ニック,,,じゃあもしかして今回のツアーのグッズも買えなかった？,chat_netotama,,scene19,false ,,
netomo,scene19,chat,curl_icon,カール,,,そうなんだよね,chat_netotama,,scene20,false ,,
netomo,scene20,chat,nick_icon,ニック,,,もし良かったらグッズあげようか？今回のグッズは結構被っちゃったから貰ってくれる人ちょうど探してたんだよね,chat_netotama,,scene21,false ,,
netomo,scene21,chat,curl_icon,カール,,,え！そうなの！本当にいいの？,chat_netotama,,scene22,false ,,
netomo,scene22,chat,nick_icon,ニック,,,もちろんだよ！せっかくあげるなら仲のいい人にあげたいなって思ってたらから！,chat_netotama,,scene23,false ,,
netomo,scene23,chat,curl_icon,カール,,,本当にありがとう！,chat_netotama,,scene24,false ,,
netomo,scene24,chat,nick_icon,ニック,,,どうやって渡そうかな…,chat_netotama,,scene25,false ,,
netomo,scene25,chat,nick_icon,ニック,,,そうだ！郵送してあげるよ！住所教えてー！,chat_netotama,,scene26,false ,,
netomo,scene26,chat,curl_icon,カール,,,住所教えてもいいかお母さんに聞いてみるね！,chat_netotama,,scene27,true ,わかった！熊本県熊本市東区月出3丁目1-100だよ！,住所教えてもいいかお母さんに聞いてみるね！
netomo,scene27,chat,nick_icon,ニック,,,わざわざ親に聞かなくてもいいのに〜,chat_netotama,,scene28,false ,,
netomo,scene28,chat,nick_icon,ニック,,,りょうかーい,chat_netotama,,scene29,false ,,
netomo,scene29,chat,curl_icon,カール,,,教えてもいいって！,chat_netotama,,scene30,false ,,
netomo,scene30,chat,nick_icon,ニック,,,おっけい！早く教えて！,chat_netotama,,scene31,false ,,
netomo,scene31,chat,curl_icon,カール,,,熊本県熊本市東区月出3丁目1-100だよ！,chat_netotama,,scene32,false ,,
netomo,scene32,chat,nick_icon,ニック,,,え、そこに住んでるの？,chat_netotama,,scene33,false ,,
netomo,scene33,chat,curl_icon,カール,,,うん！,chat_netotama,,scene34,false ,,
netomo,scene34,chat,nick_icon,ニック,,,俺も月出に住んでるよ！近いね！,chat_netotama,,scene35,false ,,
netomo,scene35,chat,curl_icon,カール,,,え−！もしかしたら知らないうちに会ってたかもね！,chat_netotama,,scene36,false ,,
netomo,scene36,chat,nick_icon,ニック,,,じゃあさ、直接会ってみない？,chat_netotama,,scene37,false ,,
netomo,scene37,chat,curl_icon,カール,,,え？直接会うの？,chat_netotama,,scene38,false ,,
netomo,scene38,chat,nick_icon,ニック,,,せっかくなんだから会おうよ！その時にグッズもあげるよ！,chat_netotama,,scene39,false ,,
netomo,scene39,chat,curl_icon,カール,,,ニックの会うの不安だからお母さんも一緒に行ってもいい？,chat_netotama,,scene40,true ,ニックの会うの不安だからお母さんも一緒に行ってもいい？,ありがとう！楽しみだな！
netomo,scene40,chat,nick_icon,ニック,,,えー？親と来るの？,chat_netotama,,scene41,false ,,
netomo,scene41,chat,curl_icon,カール,,,うん、だめかな,chat_netotama,,scene42,false ,,
netomo,scene42,chat,nick_icon,ニック,,,まあいいよ。2人で会いたかったのにな,chat_netotama,,scene43,false ,,
netomo,scene43,chat,curl_icon,カール,,,ごめんね。でもニックに会えるの楽しみだな！,chat_netotama,,scene44,false ,,
netomo,scene44,chat,nick_icon,ニック,,,じゃあ今週の日曜に近くの公園に待ち合わせで！,chat_netotama,,scene45,false ,,
netomo,scene45,park,,カール,カール,,（やばまじ緊張してきた…）,park,speech_bubble_beige,scene46,false ,,
netomo,scene46,park,,ニック,カール,ニック,こんにちは。もしかしてカール？,park,speech_bubble_beige,scene47,false ,,
netomo,scene47,park,,カール,カール,ニック,そうだよ！じゃあニックなの？,park,speech_bubble_beige,scene48,false ,,
netomo,scene48,park,,ニック,カール,ニック,うん！初めまして！,park,speech_bubble_beige,scene49,false ,,
netomo,scene49,park,,ニック,カール,ニック,ずっと直接話してみたかったんだ！やっと会えて嬉しいな,park,speech_bubble_beige,scene50,false ,,
netomo,scene50,park,,カール,カール,ニック,チャットでしか話したことなかったから不思議なかんじする,park,speech_bubble_beige,scene51,false ,,
netomo,scene51,park,,ニック,カール,ニック,緊張してる？大丈夫？,park,speech_bubble_beige,scene52,false ,,
netomo,scene52,park,,カール,カール,ニック,ちょっと緊張してるかも…,park,speech_bubble_beige,scene53,false ,,
netomo,scene53,park,,ニック,カール,ニック,変な人じゃないから安心してよ！,park,speech_bubble_beige,scene54,false ,,
netomo,scene54,park,,カール,カール,ニック,うん！もちろん！,park,speech_bubble_beige,scene55,false ,,
netomo,scene55,park,,カールのお母さん,カールのお母さん,ニック,こんにちは。カールの母です,park,speech_bubble_beige,scene56,false ,,
netomo,scene56,park,,ニック,カールのお母さん,ニック,あー、こんにちは。今日はわざわざすみません,park,speech_bubble_beige,scene57,false ,,
netomo,scene57,park,,ニック,カールのお母さん,ニック,カールのお母さんですよね？まあでも別にお母さんは来なくて良かったのに,park,speech_bubble_beige,scene58,false ,,
netomo,scene58,park,,カールのお母さん,カールのお母さん,ニック,いえいえ。初めて知らない人に会うのだから親である私が来るのは当然です,park,speech_bubble_beige,scene59,false ,,
netomo,scene59,park,,ニック,カールのお母さん,ニック,ふーん、そっか。まあいいや,park,speech_bubble_beige,scene60,false ,,
netomo,scene60,park,,ニック,カールのお母さん,ニック,じゃあ早速だけどカールにグッズ渡しちゃおうかな！,park,speech_bubble_beige,scene61,false ,,
netomo,scene61,park,,カール,カール,ニック,わざわざ持ってきてくれてありがとう！本当にもらってもいいの？,park,speech_bubble_beige,scene62,false ,,
netomo,scene62,park,,ニック,カール,ニック,カールなら大切にしてくれそうだと思ったからあげたいんだよね,park,speech_bubble_beige,scene63,false ,,
netomo,scene63,park,,カール,カール,ニック,そんなこと言ってもらえて嬉しい！ありがとう！,park,speech_bubble_beige,scene64,false ,,
netomo,scene64,park,,ニック,カール,ニック,それでなんだけど、これ一応定価よりは安くしてあげたんだよね,park,speech_bubble_beige,scene65,false ,,
netomo,scene65,park,,カール,カール,ニック,え？,park,speech_bubble_beige,scene66,false ,,
netomo,scene66,park,,ニック,カール,ニック,あれ？言ってなかったけ？少しはお金もらいたいなって思ってて,park,speech_bubble_beige,scene67,false ,,
netomo,scene67,park,,カール,カール,ニック,でもチャットではあげるって言ってなかった？,park,speech_bubble_beige,scene68,false ,,
netomo,scene68,park,,ニック,カール,ニック,無料であげるとは言ってないはずだよ,park,speech_bubble_beige,scene69,false ,,
netomo,scene69,park,,ニック,カール,ニック,僕だって欲しいって言ってた人他にいたけど、その人を断ってカールに渡しにきたんだよ,park,speech_bubble_beige,scene70,false ,,
netomo,scene70,park,,カール,カール,ニック,そうなんだ…。全部でいくらするの？,park,speech_bubble_beige,scene71,false ,,
netomo,scene71,park,,ニック,カール,ニック,うーん、だいたい5000円くらいかな,park,speech_bubble_beige,scene72,false ,,
netomo,scene72,park,,ニック,カール,ニック,本当は郵送するつもりだったから送料の分とかも入れて当然だよね？,park,speech_bubble_beige,scene73,false ,,
netomo,scene73,park,,ニック,カール,ニック,ちゃんと払ってくれる？,park,speech_bubble_beige,scene74,false ,,
netomo,scene74,park,,カール,カール,ニック,えっとー、それは…,park,speech_bubble_beige,scene75,false ,,
netomo,scene75,park,,カールのお母さん,カールのお母さん,ニック,カール、まずは落ち着いて。こういう時は、すぐに返事はしなくていいんだよ,park,speech_bubble_beige,scene76,false ,,
netomo,scene76,park,,カールのお母さん,カールのお母さん,ニック,お金のことが関わるなら、親としてきちんと確認が必要です。今日はグッズを持ち帰ってください,park,speech_bubble_beige,scene77,false ,,
netomo,scene77,park,,カールのお母さん,カールのお母さん,ニック,私とカールで一度話し合います。,park,speech_bubble_beige,scene78,false ,,
netomo,scene78,park,,ニック,カールのお母さん,ニック,別にそこまでしなくても今買ってよ,park,speech_bubble_beige,scene79,false ,,
netomo,scene79,park,,ニック,カールのお母さん,ニック,欲しいって言ってたのはカールだし、持ってきたのに,park,speech_bubble_beige,scene80,false ,,
netomo,scene80,park,,カールのお母さん,カールのお母さん,ニック,お金のやり取りをするなら、きちんとした約束がないといけません。カールにとってもそれを学ぶいい機会です,park,speech_bubble_beige,scene81,false ,,
netomo,scene81,park,,ニック,カールのお母さん,ニック,…………わかったよ。じゃあ今日は持ち帰るよ,park,speech_bubble_beige,scene82,false ,,
netomo,scene82,park,,ニック,カールのお母さん,ニック,ただ俺だって簡単にここまで来たんじゃないよ。時間もお金も使ってるし、もう少し考えてくれない？,park,speech_bubble_beige,scene83,false ,,
netomo,scene83,park,,カールのお母さん,カールのお母さん,ニック,もちろんです。私たちも家でよく話し合って必要ならこちらからご連絡します。,park,speech_bubble_beige,scene84,false ,,
netomo,scene84,park,,カール,カールのお母さん,ニック,ニック、せっかく持ってきてくれたのにごめんね。ちゃんと分かってなかった,park,speech_bubble_beige,scene85,false ,,
netomo,scene85,park,,ニック,,ニック,はあ、本当に時間の無駄だったな。また考えて連絡して,park,speech_bubble_beige,scene86,false ,,
netomo,scene86,my_room,,カール,カールのお母さん,カール,お母さん、今日は一緒に来てくれて本当にありがとう。もしお母さんがいなかったらどうなってたか分からないよ。,my_room,speech_bubble_beige,scene87,false ,,
netomo,scene87,my_room,,カールのお母さん,カールのお母さん,カール,大丈夫だよ。あの場でしっかり対処できて本当によかったね,my_room,speech_bubble_beige,scene88,false ,,
netomo,scene88,my_room,,カール,カールのお母さん,カール,でも、ニックはお金のことは最初から言ってなかったよね,my_room,speech_bubble_beige,scene89,false ,,
netomo,scene89,my_room,,カールのお母さん,カールのお母さん,カール,うん。<br>最初からちゃんとした意図を伝えなかった時点でおかしいと思うべきだった。,my_room,speech_bubble_beige,scene90,false ,,
netomo,scene90,my_room,,カールのお母さん,カールのお母さん,カール,もしお金を払っていたらもっと深刻な問題になっていたかもしれないね。,my_room,speech_bubble_beige,scene91,false ,,
netomo,scene91,my_room,,カール,,カール,ニックとはその後SNSでの連絡を続けていましたが、<br>何度も直接会って話そうと言われるようになりました,my_room,speech_bubble_beige,scene92,false ,,
netomo,scene92,my_room,,カール,,カール,以前のトラブルを思い出し、お母さんと相談した結果、最終的にニックのSNSをブロックすることを決めました,my_room,speech_bubble_beige,scene93,false ,,
netomo,scene93,my_room,,カール,,カール,ネトモと趣味が同じだと、親しみを感じて必要以上に情報を話してしまうことがあります。,my_room,speech_bubble_beige,scene94,false ,,
netomo,scene94,my_room,,カール,,カール,お母さんにちゃんと相談できていたから、大きなトラブルに巻き込まれずにすみました,my_room,speech_bubble_beige,scene95,false ,,
netomo,scene95,my_room,,カール,,カール,だからこそ、これからもいっそうの注意を払うことを忘れないようにしようと思いました,my_room,speech_bubble_beige,end,false ,,
