storyId,sceneId,viewType,characterName,dialogueText,nextSceneId,isChoice,choice1Text,choice1Percentage,choice1NextSceneId,choice2Text,choice2Percentage,choice2NextSceneId,background,TalkingPeople,LeftCharacter,CenterCharacter,RightCharacter,OneCharacter,TwoCharacter,OnePerson,bgm,groupName
bad_kakusan_story2,Scene0,start,コニー,この｜前《まえ》｜取《と》れた｜動画《どうが》めっちゃ｜面白《おもしろ》かったな〜,Scene1,FALSE,,,,,,,arasuzi_background,,,,,,,,chat_bgm,
bad_kakusan_story2,Scene1,start,コニー,でも｜送信《そうしん》｜取《と》り｜消《け》ししたから、｜広《ひろ》まることはないしもう｜大丈夫《だいじょうぶ》だよね！！,Scene2,FALSE,,,,,,,arasuzi_background,,,,,,,,chat_bgm,
bad_kakusan_story2,Scene2,screen,,アレック・ケビン・コニーのチャット,Scene3,FALSE,,,,,,,school,,,,,,,,chat_bgm,アレック・ケビン
bad_kakusan_story2,Scene3,chat,アレック,みてみてケビン！セシルのパンツが、｜風《かぜ》｜強《つよ》すぎて｜少《すこ》し｜見《み》えてる！,Scene4,FALSE,,,,,,,chatBackground_04,,,,,,,,chat_bgm,アレック・ケビン
bad_kakusan_story2,Scene4,chat_picture,アレック,どうがのスクリーンショット,Scene5,FALSE,,,,,,,chatBackground_04,,,,,,,,chat_bgm,アレック・ケビン
bad_kakusan_story2,Scene5,chat,ケビン,おもしろ！この｜動画《どうが》SNSにアップしまーす（笑）,Scene6,FALSE,,,,,,,chatBackground_05,,,,,,,,chat_bgm,アレック・ケビン
bad_kakusan_story2,Scene6,chat,コニー,,,TRUE,なんでその｜動画《どうが》｜持《も》ってるの？｜拡散《かくさん》するの良くないよ,0,Scene7,｜冗談《じょうだん》でもアップするのはやばすぎ（笑）,1,Scene8,chatBackground_04,,,,,,,,chat_bgm,アレック・ケビン
bad_kakusan_story2,Scene7,chat,アレック,だってコニーがグルチャに｜送《おく》ってくれたじゃん。｜拡散《かくさん》していいのかなって（笑）,Scene8,FALSE,,,,,,,chatBackground_04,,,,,,,,chat_bgm,アレック・ケビン
bad_kakusan_story2,Scene8,chat,ケビン,いいねいいね！,Scene9,FALSE,,,,,,,chatBackground_04,,,,,,,,chat_bgm,アレック・ケビン
bad_kakusan_story2,Scene9,chat,コニー,,,TRUE,みんなの｜反応《はんのう》が｜楽《たの》しみだ！,0,Scene10,アップしたらいけないよ！！,0,Scene10,chatBackground_04,,,,,,,,chat_bgm,アレック・ケビン
bad_kakusan_story2,Scene10,screen,,アレック・ケビンのチャット,Scene11,FALSE,,,,,,,school,,,,,,,,chat_bgm,
bad_kakusan_story2,Scene11,chat,アレック,あのセシルの｜動画《どうが》SNSにあげた？,Scene12,FALSE,,,,,,,chatBackground_05,,,,,,,,chat_bgm,ケビン
