storyId,sceneId,sceneType,groupName,icon,characterName,leftCharacterName,centerCharacterName,rightCharacterName,text,nextSceneId,isChoice,choice1Text,choice1Percentage,choice1NextSceneId,choice2Text,choice2Percentage,choice2NextSceneId,choice3Text,choice3Percentage,choice3NextSceneId,bgm,background
good_kakusan_story2,scene1,storyline,,,,,,,送信取り消ししたからもう｜大丈夫《だいじょうぶ》なはず！,scene2,false ,,,,,,,,,,arasuzi_bgm,arasuzi_background
good_kakusan_story2,scene2,storyline,,,,,,,みんなもそう｜思《おも》うよね…？,scene3,false ,,,,,,,,,,arasuzi_bgm,arasuzi_background
good_kakusan_story2,scene3,storyline,,,,,,,アレック・ケビン・カール・コニーのチャット,scene4,false ,,,,,,,,,,chat_bgm,school
good_kakusan_story2,scene4,chat_picture,アレック･ケビン･カール･コニー,alec_icon,Alec,,,,kakusan_pants,scene5,false ,,,,,,,,,,chat_bgm,chatBackground_02
good_kakusan_story2,scene5,chat,アレック･ケビン･カール･コニー,kevin_icon,Kevin,,,,この｜動画《どうが》｜本当《ほんとう》にやばいね（笑）,scene6,false ,,,,,,,,,,chat_bgm,chatBackground_02
good_kakusan_story2,scene6,chat,アレック･ケビン･カール･コニー,cony_icon,Cony,,,,え、なんでこの動画持ってるの？,scene7,false ,,,,,,,,,,chat_bgm,chatBackground_02
good_kakusan_story2,scene7,chat,アレック･ケビン･カール･コニー,curl_icon,Curl,,,,この｜動画《どうが》｜大丈夫《だいじょうぶ》？,scene8,false ,,,,,,,,,,chat_bgm,chatBackground_02
good_kakusan_story2,scene8,chat,アレック･ケビン･カール･コニー,cony_icon,Cony,,,,,,true ,｜全然《ぜんぜん》｜大丈夫《だいじょうぶ》じゃない！｜消《け》したのになんで！,1,scene9,怒られちゃうよ〜 でもみんなに｜広《ひろ》まらないならいいかも？,0.3,scene10,これめっちゃ｜面白《おもしろ》いよね（笑）,0,scene10,chat_bgm,chatBackground_02
good_kakusan_story2,scene9,chat,アレック･ケビン･カール･コニー,alec_icon,Alec,,,,｜動画《どうが》を｜送《おく》ったのはコニーじゃん（笑）,scene10,false ,,,,,,,,,,chat_bgm,chatBackground_02
good_kakusan_story2,scene10,chat,アレック･ケビン･カール･コニー,curl_icon,Curl,,,,いやいやこれはセシル悲しむよ？,scene11,false ,,,,,,,,,,chat_bgm,chatBackground_02
good_kakusan_story2,scene11,chat,アレック･ケビン･カール･コニー,cony_icon,Cony,,,,そうだよね...,scene12,false ,,,,,,,,,,chat_bgm,chatBackground_02
good_kakusan_story2,scene12,chat,アレック･ケビン･カール･コニー,cony_icon,Cony,,,,,,true ,怒られるかな〜？,0.3,scene13,まあでもこのグループだけならいっか（笑）,0,scene13,アレック動画｜消《け》してよ,1,scene13,chat_bgm,chatBackground_02
good_kakusan_story2,scene13,chat,アレック･ケビン･カール･コニー,kevin_icon,Kevin,,,,俺この｜動画《どうが》｜保存《ほぞん》しとこー（笑）,scene14,false ,,,,,,,,,,chat_bgm,chatBackground_02
good_kakusan_story2,scene14,chat,アレック･ケビン･カール･コニー,cony_icon,Cony,,,,,,true ,保存するだけだからね？（笑）,0,scene15,え？やめてよ,1,scene15,もう怒られるからやめて〜（笑）,0.3,scene15,chat_bgm,chatBackground_02
good_kakusan_story2,scene15,chat,アレック･ケビン･カール･コニー,alec_icon,Alec,,,,この｜動画《どうが》さSNSにアップしちゃおうよ！,scene16,false ,,,,,,,,,,chat_bgm,chatBackground_02
good_kakusan_story2,scene16,chat,アレック･ケビン･カール･コニー,cony_icon,Cony,,,,,,true ,SNSはやばいから クラスのグループチャットくらいならいいんじゃない（笑）,0,scene17,だからやめてって！！,1,scene17,さすがにSNSはどうかな...？,0.3,scene17,chat_bgm,chatBackground_02
good_kakusan_story2,scene17,chat,アレック･ケビン･カール･コニー,curl_icon,Curl,,,,みんな一回考え直そうよ！セシルが悲しむよ！,scene18,false ,,,,,,,,,,chat_bgm,chatBackground_02
good_kakusan_story2,scene18,screen,,,,,,,カール・コニーのチャット,scene19,false ,,,,,,,,,,chat_bgm,school
good_kakusan_story2,scene19,chat,カール,curl_icon,Curl,,,,コニー、あの動画が｜広《ひろ》まる｜前《まえ》に｜行動《こうどう》しなきゃ！！,scene20,false ,,,,,,,,,,chat_bgm,chatBackground_03
good_kakusan_story2,scene20,chat,カール,cony_icon,Cony,,,,,,true ,そうだよね... なにしたらいいかな？,1,scene22,私にできるかな？,0.3,scene21,自信ないからカールがどうにかして,0,scene21,chat_bgm,chatBackground_03
good_kakusan_story2,scene21,chat,カール,curl_icon,Curl,,,,一緒にどうにかしよう！大丈夫！,scene22,false ,,,,,,,,,,chat_bgm,chatBackground_03
good_kakusan_story2,scene22,chat,カール,curl_icon,Curl,,,,｜信頼《しんらい》できる｜大人《おとな》に｜相談《そうだん》しよう！,scene23,false ,,,,,,,,,,chat_bgm,chatBackground_03
good_kakusan_story2,scene23,chat,カール,cony_icon,Cony,,,,お｜母《かあ》さんとか、｜先生《せんせい》とか？,scene24,false ,,,,,,,,,,chat_bgm,chatBackground_03
good_kakusan_story2,scene24,chat,カール,curl_icon,Curl,,,,うん！｜勇気《ゆうき》を｜持《も》って｜行動《こうどう》してみよう！,scene25,false ,,,,,,,,,,chat_bgm,chatBackground_03
good_kakusan_story2,scene25,chat,カール,cony_icon,Cony,,,,うん。｜分《わ》かった…！,scene26,false ,,,,,,,,,,chat_bgm,chatBackground_03
