storyId,sceneId,sceneType,groupName,icon,characterName,leftCharacter,centerCharacter,rightCharacter,text,nextSceneId,isChoice,choice1Text,choice1Percentage,choice1NextSceneId,choice2Text,choice2Percentage,choice2NextSceneId,choice3Text,choice3Percentage,choice3NextSceneId,bgm,background
good_netomo_story1,scene1,storyline,,,,,,,ネット｜上《じょう》の｜友達《ともだち》「ネトモ」のニックと｜今日《きょう》も｜話《はな》さなきゃ！,scene2,false ,,,,,,,,,,arasuzi_bgm,arasuzi_background
good_netomo_story1,scene2,storyline,,,,,,,ニックとは｜同《おな》じ｜配信者《はいしんしゃ》が｜好《す》きなんだ〜,scene3,false ,,,,,,,,,,arasuzi_bgm,arasuzi_background
good_netomo_story1,scene3,chat,ニック,cony_icon,Cony,,,Cony,ヤッホー！<br>｜昨日《きのう》のライブ｜配信《はいしん》｜見《み》た？,scene4,false ,,,,,,,,,,chat_bgm,chatBackground_01
good_netomo_story1,scene4,chat,ニック,nick_icon,Nick,,,Cony,ネトモに｜会《あ》ってリアタイして｜見《み》たよ,scene5,false ,,,,,,,,,,chat_bgm,chatBackground_01
good_netomo_story1,scene5,chat,ニック,cony_icon,Cony,,,Cony,,,true ,ネトモに｜直《ちょく》で｜会《あ》ったの？,0.3,scene6,｜私《わたし》も｜会《あ》って｜話《はな》したい！,0,scene8,それって｜危《あぶ》ないことじゃないの？,1,scene7,chat_bgm,chatBackground_01
good_netomo_story1,scene6,chat,ニック,nick_icon,Nick,,,Cony,そうだよ。,scene7,false ,,,,,,,,,,chat_bgm,chatBackground_01
good_netomo_story1,scene7,chat,ニック,nick_icon,Nick,,,Cony,｜全《まった》く｜危《あぶ》なくないよ（笑）,scene8,false ,,,,,,,,,,chat_bgm,chatBackground_01
good_netomo_story1,scene8,chat,ニック,nick_icon,Nick,,,Cony,コニーにも｜会《あ》いたいから、｜次《つぎ》の｜集《あつ》まりにおいでよ！,scene9,false ,,,,,,,,,,chat_bgm,chatBackground_01
good_netomo_story1,scene9,chat,ニック,cony_icon,Cony,,,Cony,,,true ,ん〜どうしようかな（笑）,0.3,scene10,｜私《わたし》｜集《あつ》まりに｜参加《さんか》したことがないからむり！（笑）,1,scene10,｜一緒《いっしょ》に｜見《み》たい！,0,scene10,chat_bgm,chatBackground_01
good_netomo_story1,scene10,chat,ニック,nick_icon,Nick,,,Cony,まって、じゃあさ｜限定《げんてい》グッズのこと｜知《し》らない？,scene11,false ,,,,,,,,,,chat_bgm,chatBackground_01
good_netomo_story1,scene11,chat,ニック,cony_icon,Cony,,,Cony,,,true ,｜今《いま》お｜小遣《こづか》いないからあんまり｜興味《きょうみ》ないかな（笑）,1,scene12,そんなのあるんだね〜,0.3,scene12,グッズあるなら｜行《い》こうかな！,0,scene12,chat_bgm,chatBackground_01
good_netomo_story1,scene12,chat,ニック,nick_icon,Nick,,,Cony,だったら、｜限定《げんてい》グッズあげようか？,scene13,false ,,,,,,,,,,chat_bgm,chatBackground_01
good_netomo_story1,scene13,chat,ニック,cony_icon,Cony,,,Cony,,,true ,｜貰《もら》っちゃっていいの、、？,0.3,scene15,え！そうなの！｜嬉《うれ》しい！,0,scene15,｜申《もう》し｜訳《わけ》ないし｜大丈夫《だいしょうぶ》！（笑）,1,scene14,chat_bgm,chatBackground_01
good_netomo_story1,scene14,chat,ニック,nick_icon,Nick,,,Cony,もういいからいいから！,scene15,false ,,,,,,,,,,chat_bgm,chatBackground_01
good_netomo_story1,scene15,chat,ニック,nick_icon,Nick,,,Cony,｜家《いえ》に｜送《おく》ってあげるよ！｜住所《じゅうしょ》｜教《おし》えてー！,scene16,false ,,,,,,,,,,chat_bgm,chatBackground_01
good_netomo_story1,scene16,chat,ニック,cony_icon,Cony,,,Cony,｜住所《じゅうしょ》かー…,scene17,false ,,,,,,,,,,chat_bgm,chatBackground_01
good_netomo_story1,scene17,chat,ニック,cony_icon,Cony,,,Cony,,,true ,お｜母《かあ》さんに｜聞《き》いてみる！,1,scene18,｜南島《みなみしま》｜白砂ケ浜《しろすながはま》3｜丁目《ちょうめ》5｜番《ばん》3｜号《ごう》だよ！,0,scene23,｜勝手《かって》に｜教《おし》えたら｜怒《おこ》られちゃう（笑）,0.3,scene20,chat_bgm,chatBackground_01
good_netomo_story1,scene18,chat,ニック,nick_icon,Nick,,,Cony,｜早《はや》くしてね！,scene19,false ,,,,,,,,,,chat_bgm,chatBackground_01
good_netomo_story1,scene19,chat,ニック,cony_icon,Cony,,,Cony,なんか｜許《ゆる》してくれた！（笑）,scene22,false ,,,,,,,,,,chat_bgm,chatBackground_01
good_netomo_story1,scene20,chat,ニック,nick_icon,Nick,,,Cony,お｜母《かあ》さんに｜聞《き》いてみたら？,scene21,false ,,,,,,,,,,chat_bgm,chatBackground_01
good_netomo_story1,scene21,chat,ニック,cony_icon,Cony,,,Cony,いいって！！,scene22,false ,,,,,,,,,,chat_bgm,chatBackground_01
good_netomo_story1,scene22,chat,ニック,cony_icon,Cony,,,Cony,｜南島《みなみしま》｜白砂ケ浜《しろすながはま》3｜丁目《ちょうめ》5｜番《ばん》3｜号《ごう》だよ！,scene23,false ,,,,,,,,,,chat_bgm,chatBackground_01
good_netomo_story1,scene23,chat,ニック,nick_icon,Nick,,,Cony,｜家《いえ》｜近《ちか》いじゃん！｜俺《おれ》｜月島《つきしま》だよ！,scene24,false ,,,,,,,,,,chat_bgm,chatBackground_01
good_netomo_story1,scene24,chat,ニック,nick_icon,Nick,,,Cony,｜今度《こんど》そっちの｜島《しま》｜行《い》くから｜直《ちょく》で｜渡すよ！,scene25,false ,,,,,,,,,,chat_bgm,chatBackground_01
good_netomo_story1,scene25,chat,ニック,cony_icon,Cony,,,Cony,,,true ,ネトモと｜会《あ》っていいのかな？（笑）,0.3,scene27,1人は｜緊張《きんちょう》するからお｜母《かあ》さん｜連《つ》れていく！,1,scene26,お｜母《かあ》さんにバレないかな？,0,scene27,chat_bgm,chatBackground_01
good_netomo_story1,scene26,chat,ニック,nick_icon,Nick,,,Cony,しょうがないな、いいよ,scene27,false ,,,,,,,,,,chat_bgm,chatBackground_01
good_netomo_story1,scene27,chat,ニック,nick_icon,Nick,,,Cony,｜大丈夫《だいじょうぶ》だって（笑）,scene28,false ,,,,,,,,,,chat_bgm,chatBackground_01
good_netomo_story1,scene28,chat,ニック,nick_icon,Nick,,,Cony,じゃあコニーの｜家《いえ》の｜近《ちか》くの｜公園《こうえん》に｜行《い》くね！,end,false ,,,,,,,,,,chat_bgm,chatBackground_01
